ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Year,Month,Day,Duration,month,year
AL051951,DOG,1951-09-04,0,,HU,15.0,-71.4,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL051951,DOG,1951-09-04,600,,TS,15.1,-73.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL051951,DOG,1951-09-04,1200,,TS,15.1,-74.2,45,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL051951,DOG,1951-09-04,1800,,TS,15.2,-75.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL051951,DOG,1951-09-05,0,,TS,15.4,-76.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,5,9,1951
AL061951,EASY,1951-09-01,1800,,TS,14.0,-34.5,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-01,1951,9,1,6,9,1951
AL061951,EASY,1951-09-02,0,,TS,14.6,-35.5,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,6,9,1951
AL061951,EASY,1951-09-02,600,,TS,14.8,-36.4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,6,9,1951
AL061951,EASY,1951-09-02,1200,,TS,15.0,-37.4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,6,9,1951
AL061951,EASY,1951-09-02,1800,,TS,15.3,-38.6,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-02,1951,9,2,6,9,1951
AL061951,EASY,1951-09-03,0,,TS,15.7,-40.2,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,6,9,1951
AL061951,EASY,1951-09-03,600,,TS,16.1,-41.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,6,9,1951
AL061951,EASY,1951-09-03,1200,,HU,16.4,-43.3,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,6,9,1951
AL061951,EASY,1951-09-03,1800,,HU,16.6,-44.5,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,6,9,1951
AL061951,EASY,1951-09-04,0,,HU,16.7,-45.7,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,6,9,1951
